event_date,gazeteer_distance,latitude,longitude
07/14/2013 12:00:00 AM,61.301219999999994,-40.1119,176.257
04/26/2011 09:00:00 AM,51.515640000000005,-40.1019,176.8655
04/27/2011 12:00:00 AM,46.70473,-40.0582,176.8769
04/26/2011 09:00:00 AM,34.74001,-39.9455,176.9248
08/13/2015 09:20:00 AM,22.29617,-39.9001,175.3072
07/31/2008 12:00:00 AM,35.501999999999995,-39.8931,176.5992
01/18/2017 09:23:00 PM,,-39.88172973,175.71529099999998
04/27/2011 09:00:00 AM,20.71089,-39.7902,176.989
04/26/2011 09:00:00 AM,13.509160000000001,-39.6412,177.0065
04/26/2011 09:00:00 AM,0.27403,-39.484,176.9136
08/31/2015 12:00:00 AM,0.37385,-39.4585,173.8561
04/27/2011 12:00:00 AM,50.81413,-39.372,176.2391
12/17/2011 05:30:00 AM,12.42773,-39.1144,173.9534
07/29/2016 05:45:00 AM,9.69905,-39.0675,174.3119
03/22/2011 11:00:00 PM,82.22631,-39.0468,146.3552
04/26/2011 09:00:00 AM,4.15632,-39.0412,177.4136
04/26/2011 12:00:00 AM,4.392869999999999,-39.0336,177.4174
12/28/2010 12:00:00 AM,33.34168,-38.8932,174.5986
09/25/2010 09:00:00 AM,47.84343,-38.8702,175.2785
09/14/2016 02:54:00 PM,,-38.78159,143.42785700000002
09/18/2016 02:24:00 PM,,-38.70743,174.616841
11/28/2013 11:00:00 PM,1.7504,-38.6984,176.0774
01/12/2011 12:00:00 AM,17.84206,-38.6763,143.8478
09/19/2014 12:00:00 AM,2.21388,-38.6663,178.0235
01/07/2014 12:00:00 AM,1.54126,-38.6623,178.0177
01/12/2011 07:00:00 AM,23.349220000000003,-38.6378,143.8912
01/12/2011 11:00:00 PM,23.471429999999998,-38.6358,143.8911
09/14/2016 12:00:00 AM,23.97464,-38.6326,143.8953
07/13/2016 12:00:00 AM,23.52561,-38.6309,143.8872
01/12/2011 12:00:00 AM,29.55088,-38.5854,143.9341
06/22/2011 12:00:00 AM,39.1725,-38.551,146.196
10/02/2016 12:00:00 AM,42.36977,-38.3932,143.0792
